sort_record,match_pfg_nom,dupe,spelling_issue,pfg,source
1217,Abildgaardia vaginata,,NA,ATe,MC_oneTrueList
5001,Abutilon fraseri,,NA,Tdr,Bowen_Phd
5002,Abutilon halophilum,,NA,Tdr,Bowen_Phd
1218,Abutilon leucopetalum,,NA,Tdr,MC_oneTrueList
5003,Abutilon otocarpum,,NA,Tdr,Bowen_Phd
1219,Abutilon otocarpum,1,NA,Tdr,MC_oneTrueList
5004,Abutilon oxycarpum,,NA,Tdr,Bowen_Phd
913,Abutilon oxycarpum,1,NA,Tdr,Mason et al 2022
5005,Abutilon sp.,,NA,Tdr,Bowen_Phd
1220,Abutilon sp.,1,NA,Tdr,MC_oneTrueList
5006,Abutilon theophrasti,,NA,Tdr,Bowen_Phd
654,Abutilon theophrasti,1,NA,Tda,Campbell et al 2014
5591,Abutilon theophrasti,1,NA,Tda,Campbell_RC
1221,Abutilon theophrasti,1,NA,Tdr,MC_oneTrueList
5592,Acacia acinacea,,NA,Tdr,Campbell_RC
1222,Acacia acinacea,1,NA,Tdr,MC_oneTrueList
1223,Acacia anuera,,NA,Tdr,MC_oneTrueList
1224,Acacia barringtonensis,,NA,Tda,MC_oneTrueList
5593,Acacia brachybotrya,,NA,Tdr,Campbell_RC
1225,Acacia cambagei,,NA,Tda,MC_oneTrueList
1226,Acacia colei,,NA,Tdr,MC_oneTrueList
1227,Acacia concurrens,,NA,Tdr,MC_oneTrueList
1228,Acacia cowleana,,NA,Tdr,MC_oneTrueList
3862,Acacia cyclops,,NA,Tdr,JN_MLR_list
1229,Acacia cyclops,1,NA,Tdr,MC_oneTrueList
1230,Acacia cyperophylla,,NA,Tda,MC_oneTrueList
1231,Acacia dealbata,,NA,Tdr,MC_oneTrueList
5594,Acacia dealbata subsp. dealbata  ,,NA,Tdr,Campbell_RC
1232,Acacia dolichophylla,,NA,Tdr,MC_oneTrueList
6324,Acacia dorothea,,NA,Tdr,Johns et al 2015
1233,Acacia elachantha,,NA,Tdr,MC_oneTrueList
1234,Acacia excelsa,,NA,Tdr,MC_oneTrueList
1235,Acacia filicifolia,,NA,Tda,MC_oneTrueList
1236,Acacia floydii,,NA,Tda,MC_oneTrueList
1237,Acacia holosericea,,NA,Tda,MC_oneTrueList
1238,Acacia huegelii,,NA,Tdr,MC_oneTrueList
1239,Acacia leiophylla,,NA,Tdr,MC_oneTrueList
1240,Acacia ligulata,,NA,Tdr,MC_oneTrueList
3863,Acacia longifolia,,NA,Tdr,JN_MLR_list
1241,Acacia longifolia,1,NA,Tdr,MC_oneTrueList
3864,Acacia longifolia subsp. longifolia,,NA,Tdr,JN_MLR_list
1242,Acacia longifolia subsp. longifolia,1,NA,Tdr,MC_oneTrueList
3865,Acacia longifolia subsp. sophorae,,NA,Tdr,JN_MLR_list
1243,Acacia longifolia var. sophorae,,NA,Tdr,MC_oneTrueList
3866,Acacia melanoxylon,,NA,Tdr,JN_MLR_list
6325,Acacia melanoxylon,1,NA,Tdr,Johns et al 2015
1244,Acacia melanoxylon,1,NA,Tda,MC_oneTrueList
5007,Acacia melvillei,,NA,Tdr,Bowen_Phd
1245,Acacia melvillei ,,NA,Tdr,MC_oneTrueList
1246,Acacia microcarpa,,NA,Tdr,MC_oneTrueList
5595,Acacia myrtifolia,,NA,Tdr,Campbell_RC
3867,Acacia myrtifolia,1,NA,Tdr,JN_MLR_list
1247,Acacia myrtifolia,1,NA,Tdr,MC_oneTrueList
3868,Acacia myrtifolia var. angustifolia,,NA,Tdr,JN_MLR_list
3869,Acacia myrtifolia var. myrtifolia,,NA,Tdr,JN_MLR_list
1248,Acacia neurocarpa,,NA,Tda,MC_oneTrueList
5008,Acacia oswaldii,,NA,Tdr,Bowen_Phd
5596,Acacia oswaldii,1,NA,Tdr,Campbell_RC
1249,Acacia oswaldii,1,NA,Tdr,MC_oneTrueList
3870,Acacia paradoxa,,NA,Tdr,JN_MLR_list
1250,Acacia paradoxa,1,NA,Tdr,MC_oneTrueList
5009,Acacia pendula,,NA,Tdr,Bowen_Phd
1251,Acacia pendula ,,NA,Tdr,MC_oneTrueList
3871,Acacia provincialis,,NA,ATw,JN_MLR_list
1252,Acacia provincialis,1,NA,Tdr,MC_oneTrueList
1253,Acacia pulchella,,NA,ATw,MC_oneTrueList
3872,Acacia pycnantha,,NA,Tdr,JN_MLR_list
1254,Acacia pycnantha,1,NA,Tdr,MC_oneTrueList
3873,Acacia retinodes,,NA,ATw,JN_MLR_list
3874,Acacia retinodes var. retinodes,,NA,ATw,JN_MLR_list
1255,Acacia retinodes var. retinodes,1,NA,Tdr,MC_oneTrueList
5010,Acacia salicina,,NA,Tdr,Bowen_Phd
914,Acacia salicina,1,NA,Tdr,Mason et al 2022
1256,Acacia salicina,1,NA,Tdr,MC_oneTrueList
1257,Acacia saligna,,NA,Tdr,MC_oneTrueList
5011,Acacia sp.,,NA,Tda,Bowen_Phd
656,Acacia sp.,1,NA,Tdr,Campbell et al 2014
3875,Acacia sp.,1,NA,Tdr,JN_MLR_list
1258,Acacia sp.,1,NA,Tdr,MC_oneTrueList
655,Acacia sp. seedling,,NA,Tdr,Campbell et al 2014
3876,Acacia spinescens,,NA,Tdr,JN_MLR_list
1259,Acacia spinescens,1,NA,Tdr,MC_oneTrueList
5012,Acacia stenophylla,,NA,ATw,Bowen_Phd
658,Acacia stenophylla,1,NA,ATw,Campbell et al 2014
5597,Acacia stenophylla,1,NA,ATw,Campbell_RC
3877,Acacia stenophylla,1,NA,ATw,JN_MLR_list
156,Acacia stenophylla,1,NA,ATw,Ling et al 2019
1260,Acacia stenophylla,1,NA,ATw,MC_oneTrueList
657,Acacia stenophylla juvenile,,NA,ATw,Campbell et al 2014
659,Acacia stenophylla seedling,,NA,ATw,Campbell et al 2014
1261,Acacia tetragonophylla,,NA,Tdr,MC_oneTrueList
1262,Acacia ulicifolia,,NA,Tdr,MC_oneTrueList
3878,Acacia verniciflua,,NA,Tda,JN_MLR_list
1263,Acacia verticillata,,NA,Tda,MC_oneTrueList
3879,Acacia verticillata subsp. ovoidea,,NA,Tdr,JN_MLR_list
5013,Acacia victoriae,,NA,Tdr,Bowen_Phd
1264,Acacia victoriae,1,NA,Tdr,MC_oneTrueList
5014,Acacia victoriae subsp. arida,,NA,Tdr,Bowen_Phd
5598,Acacia victoriae subsp. arida,1,NA,Tdr,Campbell_RC
1265,Acacia victoriae subsp. victoriae,,NA,Tdr,MC_oneTrueList
3880,Acaena echinata,,NA,Tdr,JN_MLR_list
1266,Acaena echinata,1,NA,Tdr,MC_oneTrueList
3881,Acaena echinata var. echinata,,NA,Tdr,JN_MLR_list
3882,Acaena echinata var. retrorsumpilosa,,NA,Tdr,JN_MLR_list
3883,Acaena echinata var. robusta,,NA,Tdr,JN_MLR_list
3884,Acaena echinata var. subglabricalyx,,NA,Tdr,JN_MLR_list
3885,Acaena echinata var. tylacantha,,NA,Tdr,JN_MLR_list
1,Acaena novae-zelandiae,,NA,Tdr,Deane et al 2017
3886,Acaena novae-zelandiae,1,NA,Tdr,JN_MLR_list
1267,Acaena novae-zelandiae,1,NA,Tdr,MC_oneTrueList
5599,Acaena novae-zelandiae  ,,NA,Tdr,Campbell_RC
3887,Acaena ovina,,NA,Tdr,JN_MLR_list
1268,Acaena ovina,1,NA,Tdr,MC_oneTrueList
3888,Acaena ovina var. velutina,,NA,Tdr,JN_MLR_list
3889,Acaena sp.,,NA,Tdr,JN_MLR_list
1269,Acanthocarpus preissii,,NA,Tdr,MC_oneTrueList
3890,Acetosa sagittata,,NA,ATe,JN_MLR_list
1270,Acetosa sagittata,1,NA,Tdr,MC_oneTrueList
3891,Acetosa sp.,,NA,ATe,JN_MLR_list
1271,Acetosa vesicaria,,NA,Tdr,MC_oneTrueList
5600,Acetosella vulgaris,,NA,Tdr,Campbell_RC
3892,Acetosella vulgaris,1,NA,Tdr,JN_MLR_list
1272,Acetosella vulgaris,1,NA,Tdr,MC_oneTrueList
3893,Acianthus caudatus,,NA,Tdr,JN_MLR_list
3894,Acianthus caudatus var. caudatus,,NA,Tdr,JN_MLR_list
