original_name,WPFG,source,chrono
Agrostis avenacea,ATe,Brock_1997,1
Alternanthera denticulata,Tda,Brock_1997,1
Amphibromus sinuatus,ATe,Brock_1997,1
Azolla filiculoides,ARf,Brock_1997,1
Carex gaudichaudiana,ATe,Brock_1997,1
Centaurium spicatum,Tda,Brock_1997,1
Centipeda minima,ATl,Brock_1997,1
Chara sp.,S,Brock_1997,1
Cirsium vulgare,Tdr,Brock_1997,1
Conyza bonariensis,Tda,Brock_1997,1
Crassula helmsii,ARp,Brock_1997,1
Cyperus sanguinolentus,ATe,Brock_1997,1
Elatine gratioloides,ARp,Brock_1997,1
Eleocharis acuta,ATe,Brock_1997,1
Eleocharis deitrichiana,ATe,Brock_1997,1
Eleocharis pusilla,ATe,Brock_1997,1
Eleocharis spacelata,ARp,Brock_1997,1
Eragrostis trachycarpha,Tda,Brock_1997,1
Geranium sp.,Tda,Brock_1997,1
Glyceria australis,ATe,Brock_1997,1
Gnapthalium sp.,Tdr,Brock_1997,1
Gratiola peruviana,Tda,Brock_1997,1
Hydrocotyle tripartita,ATl,Brock_1997,1
Hypericum japonicum,Tda,Brock_1997,1
Isoetes drummondii,S,Brock_1997,1
Isolepis fluitans,ARp,Brock_1997,1
Isotoma fluviatilis,ATl,Brock_1997,1
Juncus articulatus,ATe,Brock_1997,1
Juncus australis,Tda,Brock_1997,1
Juncus bufonius,Tda,Brock_1997,1
Juncus holoschoenus,ATe,Brock_1997,1
Lilaeopsis polyantha,ATe,Brock_1997,1
Limosella australis,ARp,Brock_1997,1
Lipocarpha microcephala,ATe,Brock_1997,1
Lythrum salicaria,ATe,Brock_1997,1
Marsilea sp.,ARp,Brock_1997,1
Modiola caroliniana,Tdr,Brock_1997,1
Myriophyllum variifolium,ARp,Brock_1997,1
Myriophyllum verrucosum,ARp,Brock_1997,1
Najas tenuifolia,S,Brock_1997,1
Nitella sp.,S,Brock_1997,1
Nymphoides montana,ARf,Brock_1997,1
Panicum gilvum,Tda,Brock_1997,1
Paspalum distichum,ATe,Brock_1997,1
Persicaria hydropiper,ATe,Brock_1997,1
